,label,message
3155,spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
3377,ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
2675,ham,I am 6 ft. We will be a good combination!
2142,ham,Alright took the morphine. Back in yo.
1977,ham,Lol alright i was thinkin that too haha
2848,spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
4595,ham,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
2092,ham,Then get some cash together and I'll text jason
3387,ham,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x"
3255,ham,I can make lasagna for you... vodka...
1560,ham,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
4804,ham,How do you plan to manage that
4182,ham,"Ok da, i already planned. I wil pick you."
3145,ham,"Haha I heard that, text me when you're around"
2071,spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
2399,ham,YO YO YO BYATCH WHASSUP?
4136,ham,No need to say anything to me. I know i am an outsider
4240,ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
258,ham,Where are you lover ? I need you ...
1212,ham,Ok then i will come to ur home after half an hour
4133,ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
1488,ham,I told your number to gautham..
821,ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
3517,ham,"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
4696,spam,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
1510,ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
827,ham,Hahaha..use your brain dear
2279,ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
3390,ham,O. Guess they both got screwd
945,ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
5204,ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
1844,ham,Super da:)good replacement for murali
4849,ham,S.this will increase the chance of winning.
1881,ham,Just seeing your missed call my dear brother. Do have a gr8 day.
3194,ham,I will lick up every drop :) are you ready to use your mouth as well?
4128,ham,"Sorry, I'll call later"
3696,ham,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you"
1724,ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
2878,ham,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
2953,ham,Tell me whos this pls:-)
3329,ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
1198,ham,He also knows about lunch menu only da. . I know
4402,ham,Many times we lose our best ones bcoz we are 
3715,ham,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
747,ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
278,ham,"Awesome, I'll see you in a bit"
5566,ham,Why don't you wait 'til at least wednesday to see if you get your .
32,ham,K tell me anything about you.
1962,ham,LOL that would be awesome payback.
3487,ham,"Yeah, probably earlier than that"
1713,ham,o turns out i had stereo love on mi phone under the unknown album.
2425,ham,Oh k k:)but he is not a big hitter.anyway good
3326,ham,Nope... Juz off from work...
569,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
3521,ham,No it will reach by 9 only. She telling she will be there. I dont know
3031,ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
4662,ham,Ok no prob...
4120,ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
4875,ham,Wat happened to the cruise thing
5388,ham,I'm at work. Please call
200,ham,"Found it, ENC  &lt;#&gt; , where you at?"
2701,ham,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
4147,ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.
2460,ham,Nope. Meanwhile she talk say make i greet you.
3678,ham,Great! So what attracts you to the brothas?
3662,ham,Well then you have a great weekend!
4656,ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
5018,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
3135,ham,Ok going to sleep. Hope i can meet her.
5186,ham,I'm in town now so i'll jus take mrt down later.
4211,ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)
2993,ham,K.i did't see you.:)k:)where are you now?
4303,ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
2897,spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
836,ham,Good Morning my Dear........... Have a great &amp; successful day.
2837,ham,Nice.nice.how is it working?
734,ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
1456,spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
1424,ham,Lol great now im getting hungry.
1090,ham,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
1930,spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
5027,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
1158,ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
1476,ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
1667,ham,Guess who spent all last night phasing in and out of the fourth dimension
2791,spam,U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870
4791,ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
1528,ham,No screaming means shouting..
2665,ham,He remains a bro amongst bros
1186,ham,Annoying isn't it.
3615,ham,Ok c ü then.
4190,ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
1242,ham,"I want to show you the world, princess :) how about europe?"
3019,ham,I didn't get the second half of that message
3150,ham,"Sorry,  in meeting I'll call you later"
682,ham,Ü log off 4 wat. It's sdryb8i
4089,ham,He needs to stop going to bed and make with the fucking dealing
808,ham,Boooo you always work. Just quit.
2012,ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1."
358,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
4357,ham,Great. So should i send you my account number.
115,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
1214,ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
1060,spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+
3083,ham,"And very importantly, all we discuss is between u and i only."
4035,ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
2529,ham,jay says he'll put in  &lt;#&gt;
1211,ham,Guessin you ain't gonna be here before 9?
4739,ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
5167,ham,Ü still got lessons?  Ü in sch?
1361,ham,Yo dude guess who just got arrested the other day
3700,ham,How i noe... Did ü specify da domain as nusstu... Ü still in sch...
2998,ham,Don know..he is watching film in computer..
1099,ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
1697,ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
2326,ham,Apps class varaya elaya.
2785,ham,"K, wat s tht incident?"
338,ham,Just sleeping..and surfing
2261,spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
4546,ham,Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...
3319,ham,I'm freezing and craving ice. Fml
3581,ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
5047,ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
1035,ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
4988,ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.
4630,ham,Only saturday and sunday holiday so its very difficult:)
3419,spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
3951,ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
5427,ham,Otherwise had part time job na-tuition..
4998,ham,Esplanade lor. Where else...
288,ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
897,ham,Hope you are having a good week. Just checking in
3036,ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
1973,ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!
3112,ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
233,ham,"Sorry battery died, yeah I'm here"
1226,ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
270,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
3371,ham,Most of the tiime when i don't let you hug me it's so i don't break into tears.
3998,spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
155,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
825,ham,Have a good evening! Ttyl
63,ham,"Sorry my roommates took forever, it ok if I come by now?"
363,ham,Check audrey's status right now
1666,ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
479,ham,"K, can I pick up another 8th when you're done?"
4232,ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
4883,ham,As usual u can call me ard 10 smth.
5227,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
4492,ham,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!"
8,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
4913,ham,I am on the way to tirupur.
1919,ham,Is fujitsu s series lifebook good?
3871,ham,Oh ok wait 4 me there... My lect havent finish
2502,ham,No da..today also i forgot..
3016,ham, &lt;#&gt;  mins but i had to stop somewhere first.
4079,ham,Gam gone after outstanding innings.
1507,spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
3844,ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
1301,ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
5547,ham,Hi its in durban are you still on this number
1952,ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
1684,ham,Already am squatting is the new way of walking
4130,ham,Me i'm not workin. Once i get job...
58,ham,Tell where you reached
413,ham,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... "
607,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
3115,ham,Yes watching footie but worried we're going to blow it - Phil Neville?
4898,ham,I cant pick the phone right now. Pls send a message
4824,ham,:-) :-)
2281,ham,R ü comin back for dinner?
2489,ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
1518,spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
5545,ham,U still havent got urself a jacket ah?
4836,ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK."
3021,ham,I thank you so much for all you do with selflessness. I love you plenty.
1031,ham,Can not use foreign stamps in this country. Good lecture .
4915,ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
2811,ham,Mm so you asked me not to call radio
1366,spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
4263,ham,You'll never believe this but i have actually got off at taunton. Wow
4145,ham,That's a shame! Maybe cld meet for few hrs tomo?
2363,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
3991,spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
3418,ham,But i haf enuff space got like 4 mb...
1430,spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
2702,ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
2599,ham,Okie... Thanx...
3791,ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
3728,ham,"Aldrine, rakhesh ex RTM here.pls call.urgent."
5295,ham,I donno its in your genes or something
3129,ham,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
798,ham,"""Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic"""
328,ham,"I'd say that's a good sign but, well, you know my track record at reading women"
4614,ham,How much you got for cleaning
3672,ham,Yup. Thk of u oso boring wat.
2035,ham,Is avatar supposed to have subtoitles
3360,spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
401,spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop"
2767,spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
2097,ham,I'm done...
1033,ham,HAPPY NEW YEAR MY NO.1 MAN
5257,ham,Ok... Sweet dreams...
867,ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
2693,spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
3869,ham,"not that I know of, most people up here are still out of town"
4201,ham,I will come tomorrow di
1220,ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
1527,ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
2667,ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
2441,ham,"Great. I'm in church now, will holla when i get out"
4318,ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN 
5055,spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
633,ham,Oh that was a forwarded message. I thought you send that to me
1873,ham,Oh ok i didnt know what you meant. Yep i am baby jontin
4921,ham,"G says you never answer your texts, confirm/deny"
4585,ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
3028,ham,You still at the game?
4540,ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
2081,ham,Where is it. Is there any opening for mca.
2473,spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
3646,spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
1032,ham,Yup bathe liao...
4461,ham,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
5404,ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
5424,ham,Ok k..sry i knw 2 siva..tats y i askd..
1580,ham,"Why is that, princess? I bet the brothas are all chasing you!"
2966,ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
3787,ham,Wat r u doing?
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
3334,spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
5251,ham,"K I'm leaving soon, be there a little after 9"
281,ham,You got called a tool?
4121,ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
4390,ham,"K I'm ready,  &lt;#&gt; ?"
2003,spam,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...
623,ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
1236,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
4152,ham,Ü comin to fetch us oredi...
3954,spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
2569,ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
811,ham,S:)s.nervous  &lt;#&gt; :)
1070,ham,Jus finish bathing...
2242,ham,U buy newspapers already?
1241,ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
2149,ham,I will once i get home
2887,ham,No probs hon! How u doinat the mo?
4689,ham,Hmmm.but you should give it on one day..
4620,ham,"Sorry, I'll call later In meeting."
3863,ham,"Customer place, i wil cal u sir."
5082,ham,"Yeah, give me a call if you've got a minute"
4276,ham,Haiyoh... Maybe your hamster was jealous of million
4920,ham,Re your call; You didn't see my facebook huh?
3085,ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
4761,ham,I'm home. Doc gave me pain meds says everything is fine.
2825,ham,No need to buy lunch for me.. I eat maggi mee..
2134,ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
3069,ham,Boy you best get yo ass out here quick
2359,ham,I'll talk to the others and probably just come early tomorrow then
3665,ham,Huh? 6 also cannot? Then only how many mistakes?
3983,ham,His frens go then he in lor. Not alone wif my mum n sis lor.
1470,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
3796,ham,Also remember the beads don't come off. Ever.
1843,ham,"""Are you comingdown later?"""
1058,ham,Ard 515 like dat. Y?
2541,ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
2369,ham,If you r @ home then come down within 5 min
3228,ham,Wife.how she knew the time of murder exactly
5210,ham,Hi.what you think about match?
3321,ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
4032,ham,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds.."
3839,ham,Went to pay rent. So i had to go to the bank to authorise the payment.
4713,ham,Thats cool princess! I will cover your face in hot sticky cum :)
5045,ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
2532,ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency
4528,ham,Understand. his loss is my gain :) so do you work? School?
944,ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
616,ham,"""Happy valentines day"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st..."
1798,ham,Can i get your opinion on something first?
2083,ham,I'm done oredi...
1786,ham,I dun believe u. I thk u told him.
4694,ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
1034,ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
3511,ham,I just saw ron burgundy captaining a party boat so yeah
2603,ham,So when you gonna get rimac access 
3008,ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
5322,ham,But we havent got da topic yet rite?
323,ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
2619,ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
3208,ham,This phone has the weirdest auto correct.
1783,ham,My uncles in Atlanta. Wish you guys a great semester.
4278,ham,I'm glad. You are following your dreams.
1838,ham,And how's your husband.
3469,ham,yay! finally lol. i missed our cinema trip last week :-(
2807,ham,Can a not?
1658,ham,S:-)if we have one good partnership going we will take lead:)
4878,ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
3168,ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
5089,ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
3635,ham,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
783,ham,Beerage?
4623,ham,They finally came to fix the ceiling.
2354,spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
833,spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
3250,ham,"Sorry, I can't help you on this."
4265,ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy
1017,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
2276,ham,Is that on the telly? No its Brdget Jones!
997,ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
5418,ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
4494,ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
5114,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 
2678,ham,Where in abj are you serving. Are you staying with dad or alone.
5302,ham,I can't make it tonight
5407,ham,So how many days since then?
2091,ham,S:-)kallis wont play in first two odi:-)
5467,ham,Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway
854,ham,"""AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX."""
2903,ham,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it."
2360,spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
4325,ham,I am not having her number sir
1567,ham,I am late. I will be there at
