,label,message
4801,ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
1899,ham,Wat would u like 4 ur birthday?
2212,ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
932,ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
4712,ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
2586,ham,I will be outside office take all from there
703,ham,What is important is that you prevent dehydration by giving her enough fluids
4591,ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
2480,spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007"
1809,ham,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
4539,ham,Dare i ask... Any luck with sorting out the car?
5283,ham,"And how you will do that, princess? :)"
4342,ham,Ü all write or wat..
1006,ham,Give me a sec to think think about it
4384,ham,No need lar i go engin? Cos my sis at arts today...
967,ham,I am not sure about night menu. . . I know only about noon menu
4217,ham,Er mw im filled tuth is aight
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
604,ham,Be happy there. I will come after noon
2584,ham,"Goodmorning, today i am late for 1hr."
1358,ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
3898,ham,No. Thank you. You've been wonderful
929,ham,Oh all have to come ah?
1391,ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
2783,ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
2572,ham,… and don‘t worry we‘ll have finished by march … ish!
2721,ham,Ok lor...
4970,ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
4459,ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
176,ham,Let me know when you've got the money so carlos can make the call
3533,ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later."
1186,ham,Annoying isn't it.
4860,ham,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?"
3590,ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
4750,ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx
5147,ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
4155,ham,Haf u eaten? Wat time u wan me 2 come?
5305,ham,"I can. But it will tell quite long, cos i haven't finish my film yet..."
2085,ham,How are you. Wish you a great semester
1473,ham,"Just sent you an email – to an address with incomm in it, is that right?"
4944,ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
3818,ham,This is my number by vivek..
2926,ham,Are you coming to day for class.
114,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
4076,ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
3727,ham,No chikku nt yet.. Ya i'm free
2426,ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
4301,ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
4745,ham,"""Thinking of u ;) x"""
2467,ham,He is world famamus....
643,ham,Probably gonna swing by in a wee bit
3530,spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
950,ham,Is that what time you want me to come?
4461,ham,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.
4816,ham,Ü no home work to do meh... 
5314,ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
4764,ham,Prepare to be pleasured :)
4932,ham,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?"
5139,spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
2038,ham,Oh sorry please its over
897,ham,Hope you are having a good week. Just checking in
4562,ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
3141,spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
3921,spam,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk
4442,ham,I'm going 2 orchard now laready me reaching soon. U reaching?
5067,ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
1558,ham,Wat r u doing?
1511,ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
3880,ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up
5437,ham,I'm wif him now buying tix lar...
4065,ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
3072,ham,Apart from the one i told you about yesterday?
2419,ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
5086,ham,Hey happy birthday...
5020,ham,Great! How is the office today?
2289,ham,Dont you have message offer
1126,spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
5348,ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
2066,ham,Cos daddy arranging time c wat time fetch ü mah...
2625,ham,S da..al r above  &lt;#&gt;
2709,ham,"Nah, I'm a perpetual DD"
4383,ham,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke
288,ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
3785,ham,Dear got train and seat mine lower seat
450,ham,10 min later k...
564,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
74,ham,U can call me now...
542,ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
435,ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
942,ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
528,ham,Yes! How is a pretty lady like you single?
3738,ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
4432,ham,2mro i am not coming to gym machan. Goodnight.
2787,ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
2509,ham,Ok...
2333,ham,We are both fine. Thanks
4392,ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
831,spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
2443,ham,I donno if they are scorable
1504,ham,Ill be there on  &lt;#&gt;  ok.
448,ham,I wont get concentration dear you know you are my mind and everything :-)
902,ham,How is it possible to teach you. And where.
990,ham,Ugh. Gotta drive back to sd from la. My butt is sore.
2531,ham,So the sun is anti sleep medicine.
436,ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
4346,ham,Enjoy urself tmr...
2541,ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
1248,ham,Horrible gal. Me in sch doing some stuff. How come u got mc?
2337,ham,"""Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!"""
1602,ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
4231,ham,And several to you sir.
1354,ham,"Goodnight, sleep well da please take care pa. Please."
1265,ham,I will see in half an hour
4138,ham,Just got to  &lt;#&gt;
544,ham,4 oclock at mine. Just to bash out a flat plan.
1580,ham,"Why is that, princess? I bet the brothas are all chasing you!"
938,ham,K:)k.are you in college?
5463,ham,Ok i thk i got it. Then u wan me 2 come now or wat?
1359,ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
2583,spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each"
2825,ham,No need to buy lunch for me.. I eat maggi mee..
928,ham,K:)i will give my kvb acc details:)
4324,ham,Aight well keep me informed
5562,ham,Anything lor. Juz both of us lor.
3032,ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
3539,ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
3010,spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
4540,ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
2069,ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.
2130,ham,Mine here like all fr china then so noisy.
1722,ham,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.
63,ham,"Sorry my roommates took forever, it ok if I come by now?"
4924,ham,Oh yah... We never cancel leh... Haha 
3393,ham,What r u cooking me for dinner?
2483,ham,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!
5202,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
3465,ham,My phone
5275,ham,Its too late:)but its k.wish you the same.
264,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
3647,ham,Carlos says we can pick up from him later so yeah we're set
592,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
1768,ham,"K, want us to come by now?"
4052,ham,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL"
4036,spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
1465,ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
3316,spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
3143,ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
2387,ham,No message..no responce..what happend?
4251,ham,How much for an eighth?
720,ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
2204,ham,soon you will have the real thing princess! Do i make you wet? :)
3088,ham,So i asked how's anthony. Dad. And your bf
2912,ham,"Sorry,in meeting I'll call later"
5514,ham,"Just making dinner, you ?"
359,ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
4112,spam,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
1941,ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
3817,ham,How long does it take to get it.
3445,ham,Yes but I don't care cause I know its there!
1648,ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!"
3384,ham,K... Must book a not huh? so going for yoga basic on sunday?
2571,ham,From 5 to 2 only my work timing.
628,ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
3280,ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
3442,spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
4755,ham,Ok lor... Or u wan me go look 4 u?
1725,ham,There bold 2  &lt;#&gt; . Is that yours
5157,ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
3715,ham,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
4474,ham,S but not able to sleep.
3995,ham,I love to cuddle! I want to hold you in my strong arms right now...
2300,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
5529,ham,"Total disappointment, when I texted you was the craziest shit got :("
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
1818,ham,Well i will watch shrek in 3D!!B)
4316,ham,Captain is in our room:)
4636,ham,How come i din c ü... Yup i cut my hair...
1745,spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
4799,ham,Just come home. I don't want u to be miserable
4903,spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
1302,ham,I tot u reach liao. He said t-shirt.
1632,ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
4246,ham,Is toshiba portege m100 gd?
2132,ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
2175,ham,See? I thought it all through
1348,ham,She doesnt need any test.
4152,ham,Ü comin to fetch us oredi...
5099,ham,Sorry about that this is my mates phone and i didnt write it love Kate
1210,ham,His bday real is in april .
5096,ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
4798,spam,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com
3409,spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
1011,ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
5365,ham,"I think your mentor is , but not 100 percent sure."
1198,ham,He also knows about lunch menu only da. . I know
4396,ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
2149,ham,I will once i get home
301,ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
3045,ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
644,ham,Ya very nice. . .be ready on thursday
4338,ham,on a Tuesday night r u 4 real
2396,ham,"Babe, I'm back ... Come back to me ..."
5546,ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
3978,spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
5256,ham,I didnt get anything da
735,ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
799,ham,Ok i msg u b4 i leave my house.
2747,ham,K da:)how many page you want?
2203,ham,"(And my man carlos is definitely coming by mu tonight, no excuses)"
5405,ham,So gd got free ice cream... I oso wan...
689,ham,Thanks love. But am i doing torch or bold.
2877,ham,Fuck cedar key and fuck her (come over anyway tho)
3160,ham,Are you up for the challenge? I know i am :)
616,ham,"""Happy valentines day"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st..."
4105,ham,Do u hav any frnd by name ashwini in ur college?
3767,ham,Yes.mum lookin strong:)
189,ham,Have you got Xmas radio times. If not i will get it now
665,ham,Yes baby! We can study all the positions of the kama sutra ;)
2168,ham,Yes.he have good crickiting mind
368,spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
4421,ham,Ok i msg u b4 i leave my house.
5186,ham,I'm in town now so i'll jus take mrt down later.
3041,ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
5360,ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
820,ham,"""BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX."""
1179,ham,"I'm outside islands, head towards hard rock and you'll run into me"
2599,ham,Okie... Thanx...
3285,ham,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
4170,ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
1196,spam,You have 1 new voicemail. Please call 08719181503
877,ham,Are you in castor? You need to see something
808,ham,Boooo you always work. Just quit.
4603,ham,"""Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx"""
478,ham,Tension ah?what machi?any problem?
546,ham,Then any special there?
237,ham,Or ill be a little closer like at the bus stop on the same street
1216,ham,"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?"
5008,ham,Oh k. . I will come tomorrow
1422,ham,Do you work all this week ?
2994,ham,So i'm doing a list of buyers.
4994,ham,"""HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."""
2667,ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
5155,ham,Haven't left yet so probably gonna be here til dinner
2083,ham,I'm done oredi...
2598,ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
3087,ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
840,spam,Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP
1228,ham,So ü'll be submitting da project tmr rite?
3188,ham,Howz that persons story
441,ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
5411,ham,There is a first time for everything :)
2331,ham,Long beach lor. Expected... U having dinner now?
5260,ham,1 in cbe. 2 in chennai.
861,ham,In work now. Going have in few min.
4214,ham,I attended but nothing is there.
4448,ham,Please tell me you have some of that special stock you were talking about
1988,ham,No calls..messages..missed calls
327,ham,Hi da:)how is the todays class?
958,ham,Welp apparently he retired
750,ham,By monday next week. Give me the full gist
429,ham,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..
1167,ham,I am not having her number sir
974,ham,what is your account number?
